chapter,list_of_names,list_of_places
PREFACE TO DESIDERIUS. ,"[""god"", ""martin"", ""st. martin"", ""severus"", ""desiderius""]","[""kingdom of god""]"
CHAPTER I. Reasons for writing the Life of St. Martin. ,"[""god"", ""sulpitius"", ""hector"", ""martin"", ""st. martin"", ""lord"", ""spirit"", ""socrates""]","[""tours""]"
CHAPTER II. Military Service of St. Martin. ,"[""god"", ""king constantine"", ""christ"", ""sulpitius"", ""martin"", ""st. martin""]","[""pannonia"", ""sabaria"", ""ticinum"", ""italy""]"
CHAPTER III. Christ appears to St. Martin. ,"[""god"", ""christ"", ""sulpitius"", ""martin"", ""st. martin"", ""lord"", ""jesus""]","[""amiens"", ""the city""]"
CHAPTER IV. Martin retires from Military Service. ,"[""god"", ""christ"", ""martin"", ""lord jesus"", ""lord"", ""jesus""]","[""the city"", ""vaugiones"", ""gaul""]"
CHAPTER V. Martin converts a Robber to the Faith. ,"[""god"", ""holy hilarius"", ""christ"", ""martin"", ""pictava"", ""lord"", ""hilarius""]","[""alps"", ""the city""]"
CHAPTER VI. The Devil throws himself in the Way of Martin. ,"[""auxentius"", ""holy hilarius"", ""martin"", ""devil"", ""lord"", ""hilarius"", ""milan""]","[""gaul"", ""gallinaria"", ""the city"", ""milan"", ""rome"", ""illyria"", ""italy""]"
CHAPTER VII. Martin restores a Catechumen to Life. ,"[""god"", ""martin"", ""spirit of god"", ""lord"", ""hilarius"", ""spirit""]",[]
CHAPTER VIII. Martin restores one that had been strangled. ,"[""martin"", ""lupicinus""]",[]
CHAPTER IX. High Esteem in which Martin was held. ,"[""defensor"", ""lord"", ""martin"", ""ruricius""]","[""tours"", ""loire""]"
CHAPTER X. Martin as Bishop of Tours. ,"[""martin""]","[""tours"", ""the city"", ""loire""]"
CHAPTER XI. Martin demolishes an Altar consecrated to a Robber. ,"[""martin"", ""lord""]",[]
CHAPTER XII. Martin causes the Bearers of a Dead Body to stop. ,"[""god"", ""martin""]",[]
CHAPTER XIII. Martin escapes from a Falling Pine-tree. ,"[""god"", ""christ"", ""martin"", ""lord jesus"", ""lord"", ""jesus""]","[""in a certain village"", ""certain village""]"
CHAPTER XIV. Martin destroys Heathen Temples and Altars. ,"[""god"", ""martin"", ""lord jesus"", ""lord"", ""jesus""]","[""in a certain village"", ""leprosum"", ""certain village""]"
CHAPTER XV. Martin offers his Neck to an Assassin. ,"[""god"", ""martin""]",[]
CHAPTER XVI. Cures effected by St. Martin. ,"[""st. martin"", ""martin"", ""spirit"", ""lord""]","[""treves""]"
CHAPTER XVII. Martin casts out Several Devils. ,"[""christ"", ""tetradius"", ""martin"", ""lord jesus"", ""devil"", ""lord"", ""spirit"", ""jesus""]",[]
CHAPTER XVIII. Martin performs Various Miracles. ,"[""martin"", ""spirit""]","[""paris"", ""the city""]"
"CHAPTER XIX. A Letter of Martin effects a Cure, with Other Miracles. ","[""god"", ""paulinus"", ""arborius"", ""martin""]",[]
CHAPTER XX. How Martin acted towards the Emperor Maximus. ,"[""god"", ""maximus"", ""evodius"", ""martin"", ""valentinianus"", ""emperor valentinianus"", ""emperor maximus""]","[""aquileia"", ""italy""]"
CHAPTER XXI. Martin has to do both with Angels and Devils. ,"[""lord"", ""martin"", ""devil"", ""spirit""]",[]
CHAPTER XXII. Martin preaches Repentance even to the Devil. ,"[""god"", ""mercury"", ""christ"", ""martin"", ""st. martin"", ""devil"", ""lord"", ""minerva"", ""jupiter""]",[]
CHAPTER XXIII. A Case of Diabolic Deception. ,"[""god"", ""clarus"", ""martin"", ""devil"", ""lord"", ""anatolius""]",[]
CHAPTER XXIV. Martin is tempted by the Wiles of the Devil. ,"[""jesus"", ""rufus"", ""elias"", ""god"", ""christ"", ""sulpitius"", ""martin"", ""john"", ""lord jesus"", ""devil"", ""lord"", ""spirit"", ""antichrist""]","[""spain""]"
CHAPTER XXV. Intercourse of Sulpitius with Martin. ,"[""sulpitius"", ""christ"", ""martin"", ""lord jesus"", ""paulinus"", ""lord"", ""jesus""]",[]
CHAPTER XXVI. Words cannot describe the Excellences of Martin. ,"[""god"", ""martin"", ""homer""]","[""rome""]"
CHAPTER XXVII. Wonderful Piety of  Martin. ,"[""god"", ""sulpitius"", ""christ"", ""martin"", ""st. martin"", ""spirit""]",[]
